City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Goderich,CA,78.01,light rain,43.75,-81.72,Harmony Inn
158,Ribeira Grande,PT,75.2,few clouds,38.52,-28.7,Quinta da Meia Eira
163,Bethel,US,79.0,light rain,41.37,-73.41,Courtyard by Marriott Danbury
166,Harper,LR,75.97,broken clouds,4.38,-7.72,Screensaver
168,Opelousas,US,87.01,clear sky,30.53,-92.08,Holiday Inn & Suites Opelousas
169,Sol-Iletsk,RU,75.34,overcast clouds,51.16,54.99,Raduzhnaya
172,Council Bluffs,US,78.8,broken clouds,41.26,-95.86,Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area
173,Key Largo,US,87.01,light rain,25.09,-80.45,Bayside Inn Key Largo
174,Palmer,US,84.0,light rain,42.16,-72.33,Wedgewood Motel
175,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
177,Bandarbeyla,SO,79.11,broken clouds,9.49,50.81,REER XOOSHLE GROUP
178,Havre-Saint-Pierre,CA,77.0,clear sky,50.23,-63.6,Auberge Niapiskau
181,Banda Aceh,ID,81.12,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
184,Belawan,ID,80.6,scattered clouds,3.78,98.68,Lilik Hidayat Pulungan
189,Acapulco,MX,87.8,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
192,Shache,CN,75.79,scattered clouds,38.42,77.24,Delong Hotel
193,Kantunilkin,MX,89.6,scattered clouds,21.09,-87.45,Posada Paraiso
198,Ejido,VE,79.93,light rain,8.55,-71.24,Bora Bora Nails & Spa C.A.
201,Mohpa,IN,77.0,mist,21.32,78.82,PR it am shrikhande
202,Wewak,PG,78.33,broken clouds,-3.55,143.63,In Wewak Boutique Hotel
204,Coahuayana,MX,84.2,scattered clouds,18.73,-103.68,Hotel Los Arcos
205,Cap-Aux-Meules,CA,77.0,scattered clouds,47.38,-61.86,Auberge Madeli
206,Samarai,PG,76.8,light rain,-10.62,150.67,Nuli Sapi
209,Porto Novo,BJ,78.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
211,Kula,TR,77.0,clear sky,38.55,28.65,Anemon Kula Hotel
213,Lucea,JM,89.6,scattered clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
219,Ambon,ID,75.99,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
221,Jawhar,SO,76.41,scattered clouds,2.78,45.5,cosoble spare parts
223,Sola,VU,76.26,scattered clouds,-13.88,167.55,Leumerus Bungalows
225,Ypsonas,CY,80.6,few clouds,34.69,32.96,Club Aphrodite
229,Vanimo,PG,76.5,scattered clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
